dni_ag,dni_na,dni_asym_ag,dni_asym_na,dni_dist_ag,dni_dist_na
1.14382,.839093,.8701971,.8042029,.4407681,.8838732
.9890374,.8260037,.6956669,.8077661,.435199,.8821813
.954662,.9095961,.7887401,.9318676,.4097124,.8741959
1.052882,.7830752,.719462,.720849,.404115,.8723858
.9890374,.8260037,.6956669,.8077661,.435199,.8821813
1.17991,.8840222,.9877928,.9166478,.4368241,.8826769
1.054388,.9903703,.7279516,.9381154,1,1
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
1.11379,.8152875,1.346664,.9073516,.4288366,.8802258
.7862852,.825208,.8093576,.87665,.4212756,.8778697
1.052882,.7830752,1.540818,.850673,.404115,.8723858
1,1,1,1,1,1
1.052882,.7830752,1.540818,.850673,.404115,.8723858
.7862852,.825208,.8093576,.87665,.4212756,.8778697
.7862852,.825208,.8093576,.87665,.4212756,.8778697
1.052882,.7830752,1.540818,.850673,.404115,.8723858
.753397,.7869163,.7897926,.8623779,.4270253,.8796647
1.310717,.8870984,1.313349,.95114,.4079048,.8736137
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
1,1,1,1,1,1
.7958347,.8501984,.9750153,.9576764,.4128067,.8751876
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
1.310717,.8870984,1.313349,.95114,.4079048,.8736137
1.310717,.8870984,1.313349,.95114,.4079048,.8736137
1,1,1,1,1,1
1,1,1,1,1,1
.753397,.7869163,.7897926,.8623779,.4270253,.8796647
.7958347,.8501984,.9750153,.9576764,.4128067,.8751876
1,1,1,1,1,1
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
.7862852,.825208,.8093576,.87665,.4212756,.8778697
1.11379,.8152875,1.346664,.9073516,.4288366,.8802258
1,1,1,1,1,1
.7862852,.825208,.8093576,.87665,.4212756,.8778697
.7958347,.8501984,.9750153,.9576764,.4128067,.8751876
.6058849,.6627283,.6121582,.6819512,1,1
